Type,domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,having_repeated_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
1,19,5,0,2,8,0,2,12,0,3.787143961
1,10,5,1,1,2,0,1,6,0,3.321928095
1,31,2,3,1,2,0,1,8.333333333,0,3.732444601
1,15,1,0,0,0,0,1,11,0,3.506890596
1,133,7,6,0,28,1,6,6,0,4.705758701
1,13,3,0,0,0,0,2,6,0,3.180832987
1,23,4,1,1,6,0,4,3,0,3.708132065
1,33,5,2,0,1,0,5,8,0,3.942438726
1,30,3,0,0,6,1,2,15,3,4.506890596
1,25,2,3,0,34,1,2,2.5,10,3.70346519
1,21,2,1,0,0,0,1,8,0,3.880179923
1,23,2,0,0,1,0,2,10,1,3.675310869
1,15,1,0,0,8,0,1,11,0,3.323231429
1,80,3,0,0,8,1,3,59,8,4.661077827
1,13,2,0,0,89,0,1,9,0,3.39274741
1,12,2,0,0,20,0,1,8,0,3.084962501
1,24,4,0,0,32,0,3,5,0,3.886842188
1,13,4,1,0,0,0,1,4,0,3.334679141
1,10,1,1,0,26,0,1,6,0,2.846439345
1,30,2,0,0,4,1,2,18,2,4.081727679
1,16,4,0,0,6,0,2,3,0,3.202819531
1,15,4,0,0,0,0,3,3,0,3.006238929
1,32,4,1,0,0,0,4,7,0,3.952819531
1,17,2,0,0,0,0,2,2,0,3.499227547
1,14,2,1,0,14,0,2,3,0,2.54952346
1,22,2,0,0,5,0,2,8,5,4.004886164
1,113,10,3,0,38,1,10,3,0,4.588749607
1,11,2,1,1,29,0,1,7,0,3.095795255
1,30,4,0,0,17,0,3,11,0,3.739572262
1,9,2,0,0,0,0,1,5,0,2.419381946
1,12,4,0,0,0,0,2,2,0,3.022055209
1,103,11,1,0,29,1,11,6,0,4.433518031
1,114,13,0,0,19,1,12,6,0,4.569701862
1,23,1,1,0,7,1,1,9.5,7,3.567040217
1,13,2,0,0,0,0,1,9,0,3.334679141
1,13,2,0,1,24,0,2,6,0,3.39274741
1,9,2,0,0,1,0,1,6,0,2.947702779
1,20,2,0,0,1,0,2,9,0,3.321928095
1,55,6,1,0,0,0,6,3,0,4.260473523
1,21,3,1,0,0,0,1,8,0,3.617809684
